"Months_active","Distance_from_work","Age","Disciplined","Children","Social_drinker","Social_smoker","Pets","Weight","Height","BMI","Absent_hours"
11,5.2,36,0,4,1,0,0,65,168,23,4
13,5.78,33,1,2,1,0,1,90,172,30,0
12,7.38,31,0,3,1,0,0,70,169,25,8
9,4.5,28,0,1,0,0,2,69,169,24,3
10,2.36,37,0,0,0,0,0,83,172,28,4
13,5.78,33,0,2,1,0,1,90,172,30,2
18,3.58,38,0,0,1,0,0,89,170,31,1
8,5.36,33,0,0,0,0,0,79,178,25,8
18,2.36,50,1,1,1,0,0,98,178,31,0
14,4.96,47,0,2,0,0,1,86,165,32,2
18,2.36,50,0,1,1,0,0,98,178,31,2
18,2.36,50,0,1,1,0,0,98,178,31,1
18,2.36,50,0,1,1,0,0,98,178,31,80
9,4.5,28,0,1,0,0,2,69,169,24,2
9,4.5,28,0,1,0,0,2,69,169,24,2
12,4.7,48,1,1,0,1,5,88,163,33,0
29,5.78,49,0,0,0,0,2,108,172,36,1
12,5.82,40,0,1,1,0,1,73,171,25,1
10,2.36,37,0,0,0,0,0,83,172,28,2
14,4.96,47,0,2,0,0,1,86,165,32,8
14,3.1,34,0,2,1,0,0,95,196,25,8
18,3.58,38,0,0,1,0,0,89,170,31,3
18,3.58,38,0,0,1,0,0,89,170,31,3
9,4.5,28,0,1,0,0,2,69,169,24,2
11,5.2,36,0,4,1,0,0,65,168,23,4
18,3.58,38,0,0,1,0,0,89,170,31,2
3,7.22,28,0,1,1,0,4,80,172,27,8
9,4.5,28,0,1,0,0,2,69,169,24,2
18,3.58,38,0,0,1,0,0,89,170,31,2
14,4.96,47,0,2,0,0,1,86,165,32,3
9,4.5,28,0,1,0,0,2,69,169,24,2
18,3.58,38,0,0,1,0,0,89,170,31,3
13,4.7,43,0,1,1,0,0,106,167,38,8
11,5.2,36,0,4,1,0,0,65,168,23,3
6,3.14,29,0,0,1,1,0,75,185,22,3
18,3.58,38,0,0,1,0,0,89,170,31,3
9,4.5,28,0,1,0,0,2,69,169,24,112
9,3.58,30,0,0,0,0,0,56,171,19,16
12,4.7,48,0,1,0,1,5,88,163,33,8
16,4.56,58,0,2,0,0,1,65,172,22,8
14,3.1,34,0,2,1,0,0,95,196,25,2
24,2.36,46,0,2,1,1,0,75,175,25,8
9,3.58,30,0,0,0,0,0,56,171,19,1
13,2.36,40,0,1,1,0,8,98,170,34,0
13,5.78,33,0,2,1,0,1,90,172,30,8
10,2.36,37,0,0,0,0,0,83,172,28,3
8,4.7,32,0,0,0,0,0,75,178,25,8
17,3.58,40,0,2,0,1,0,63,170,22,2
11,5.2,36,0,4,1,0,0,65,168,23,8
18,3.58,38,0,0,1,0,0,89,170,31,1
9,3.58,30,0,0,0,0,0,56,171,19,2
14,4.7,37,0,1,0,0,1,88,172,29,4
14,5.58,39,0,2,1,1,0,68,168,24,16
13,6,43,0,2,1,1,1,77,175,25,8
13,4.7,43,0,1,1,0,0,106,167,38,8
11,5.2,36,0,4,1,0,0,65,168,23,8
13,5.78,33,0,2,1,0,1,90,172,30,4
10,2.36,37,0,0,0,0,0,83,172,28,2
12,5.82,40,0,1,1,0,1,73,171,25,1
16,4.92,41,0,0,1,0,0,67,170,23,8
13,3.78,33,0,2,0,0,2,69,167,25,8
14,4.96,47,0,2,0,0,1,86,165,32,4
16,4.92,41,0,0,1,0,0,67,170,23,16
14,4.7,37,0,1,0,0,1,88,172,29,8
9,4.5,28,0,1,0,0,2,69,169,24,1
18,2.36,50,0,1,1,0,0,98,178,31,24
13,5.78,33,0,2,1,0,1,90,172,30,8
1,4.66,31,0,1,1,0,8,68,178,21,3
11,5.2,36,0,4,1,0,0,65,168,23,3
12,5.82,40,0,1,1,0,1,73,171,25,4
14,3.1,34,0,2,1,0,0,95,196,25,40
3,7.22,28,0,1,1,0,4,80,172,27,8
3,7.22,28,0,1,1,0,4,80,172,27,1
12,7.38,31,0,3,1,0,0,70,169,25,8
16,4.56,58,0,2,0,0,1,65,172,22,120
7,3.68,27,0,0,0,0,0,58,167,21,1
18,3.58,38,0,0,1,0,0,89,170,31,8
11,7.56,36,1,2,0,1,4,65,174,21,0
12,7.38,31,1,3,1,0,0,70,169,25,0
13,4.7,43,0,1,1,0,0,106,167,38,8
11,5.2,36,0,4,1,0,0,65,168,23,8
13,6,43,0,2,1,1,1,77,175,25,1
18,2.36,50,1,1,1,0,0,98,178,31,0
18,3.58,38,0,0,1,0,0,89,170,31,3
18,3.58,38,0,0,1,0,0,89,170,31,2
14,3.1,34,0,2,1,0,0,95,196,25,1
13,4.7,43,1,1,1,0,0,106,167,38,0
13,4.7,43,1,1,1,0,0,106,167,38,0
18,2.36,50,1,1,1,0,0,98,178,31,0
18,3.58,38,0,0,1,0,0,89,170,31,16
12,5.82,40,0,1,1,0,1,73,171,25,40
18,3.58,38,0,0,1,0,0,89,170,31,8
16,4.92,41,0,0,1,0,0,67,170,23,8
17,3.58,40,0,2,0,1,0,63,170,22,2
10,2.36,37,0,0,0,0,0,83,172,28,8
18,3.58,38,0,0,1,0,0,89,170,31,24
17,3.58,40,0,2,0,1,0,63,170,22,40
10,2.36,37,0,0,0,0,0,83,172,28,3
12,5.82,40,0,1,1,0,1,73,171,25,2
9,4.5,28,0,1,0,0,2,69,169,24,8
17,3.58,40,0,2,0,1,0,63,170,22,1
18,3.58,38,0,0,1,0,0,89,170,31,3
16,4.56,58,0,2,0,0,1,65,172,22,2
9,3.58,30,0,0,0,0,0,56,171,19,3
18,2.36,50,0,1,1,0,0,98,178,31,1
9,4.5,28,0,1,0,0,2,69,169,24,4
13,5.78,33,0,2,1,0,1,90,172,30,8
12,5.82,40,0,1,1,0,1,73,171,25,2
9,4.5,28,0,1,0,0,2,69,169,24,2
13,5.78,33,0,2,1,0,1,90,172,30,3
9,4.5,28,0,1,0,0,2,69,169,24,16
13,5.78,33,0,2,1,0,1,90,172,30,4
14,3.1,34,0,2,1,0,0,95,196,25,4
18,2.36,50,0,1,1,0,0,98,178,31,2
18,2.36,50,0,1,1,0,0,98,178,31,1
14,4.96,47,0,2,0,0,1,86,165,32,3
14,3.1,34,0,2,1,0,0,95,196,25,2
12,5.82,40,0,1,1,0,1,73,171,25,8
10,2.36,37,0,0,0,0,0,83,172,28,3
10,2.36,37,0,0,0,0,0,83,172,28,8
17,3.58,40,0,2,0,1,0,63,170,22,2
18,3.58,38,1,0,1,0,0,89,170,31,0
11,7.56,36,0,2,0,1,4,65,174,21,8
18,3.58,38,0,0,1,0,0,89,170,31,1
16,4.92,41,0,0,1,0,0,67,170,23,3
12,5.82,40,0,1,1,0,1,73,171,25,4
10,2.36,37,0,0,0,0,0,83,172,28,2
3,7.22,28,0,1,1,0,4,80,172,27,8
9,3.58,30,0,0,0,0,0,56,171,19,2
14,3.1,34,0,2,1,0,0,95,196,25,1
18,2.36,50,0,1,1,0,0,98,178,31,2
9,4.5,28,0,1,0,0,2,69,169,24,3
9,4.5,28,0,1,0,0,2,69,169,24,2
18,3.58,38,0,0,1,0,0,89,170,31,8
12,5.82,40,0,1,1,0,1,73,171,25,2
7,3.68,27,0,0,0,0,0,58,167,21,2
11,5.2,36,0,4,1,0,0,65,168,23,56
8,4.7,32,0,0,0,0,0,75,178,25,3
10,2.36,37,0,0,0,0,0,83,172,28,2
29,5.78,49,0,0,0,0,2,108,172,36,2
12,7.38,31,0,3,1,0,0,70,169,25,8
9,4.5,28,0,1,0,0,2,69,169,24,3
14,4.62,39,0,2,1,0,2,100,170,35,0
14,4.96,47,1,2,0,0,1,86,165,32,0
18,3.58,38,0,0,1,0,0,89,170,31,2
12,5.82,40,0,1,1,0,1,73,171,25,40
14,3.1,34,0,2,1,0,0,95,196,25,2
10,2.36,37,0,0,0,0,0,83,172,28,8
17,3.58,40,0,2,0,1,0,63,170,22,1
18,3.58,38,0,0,1,0,0,89,170,31,1
18,3.58,38,0,0,1,0,0,89,170,31,1
14,5.58,39,0,2,1,1,0,68,168,24,4
18,2.36,50,1,1,1,0,0,98,178,31,0
9,4.5,28,0,1,0,0,2,69,169,24,8
14,4.96,47,0,2,0,0,1,86,165,32,2
3,7.22,28,0,1,1,0,4,80,172,27,8
12,5.82,40,0,1,1,0,1,73,171,25,2
4,6.6,28,0,0,0,0,0,84,182,25,4
14,4.96,47,0,2,0,0,1,86,165,32,2
13,5.78,33,0,2,1,0,1,90,172,30,16
18,2.36,50,0,1,1,0,0,98,178,31,8
9,4.5,28,0,1,0,0,2,69,169,24,8
4,6.6,28,0,0,0,0,0,84,182,25,8
11,5.2,36,0,4,1,0,0,65,168,23,4
14,4.96,47,0,2,0,0,1,86,165,32,3
12,5.82,32,0,0,1,0,0,65,169,23,2
13,6,43,0,2,1,1,1,77,175,25,2
16,4.92,41,0,0,1,0,0,67,170,23,8
16,4.92,41,0,0,1,0,0,67,170,23,4
3,7.22,28,0,1,1,0,4,80,172,27,2
18,3.58,38,0,0,1,0,0,89,170,31,1
17,3.58,40,0,2,0,1,0,63,170,22,8
12,5.82,40,0,1,1,0,1,73,171,25,3
8,4.7,32,0,0,0,0,0,75,178,25,2
10,2.36,37,0,0,0,0,0,83,172,28,3
16,4.92,41,1,0,1,0,0,67,170,23,0
11,5.2,36,1,4,1,0,0,65,168,23,0
10,2.36,37,0,0,0,0,0,83,172,28,8
13,5.78,33,0,2,1,0,1,90,172,30,8
18,3.58,38,0,0,1,0,0,89,170,31,8
13,5.78,33,0,2,1,0,1,90,172,30,1
11,7.56,36,0,2,0,1,4,65,174,21,8
18,3.58,38,0,0,1,0,0,89,170,31,2
16,4.92,41,0,0,1,0,0,67,170,23,1
13,3.78,33,0,2,0,0,2,69,167,25,8
9,4.5,28,1,1,0,0,2,69,169,24,0
12,7.38,31,0,3,1,0,0,70,169,25,3
13,4.7,43,0,1,1,0,0,106,167,38,8
11,5.2,36,0,4,1,0,0,65,168,23,4
18,3.58,38,0,0,1,0,0,89,170,31,8
11,5.2,36,0,4,1,0,0,65,168,23,8
3,7.22,28,0,1,1,0,4,80,172,27,40
8,5.36,33,1,0,0,0,0,79,178,25,0
3,7.22,28,0,1,1,0,4,80,172,27,7
17,3.58,40,0,2,0,1,0,63,170,22,8
9,4.5,28,0,1,0,0,2,69,169,24,1
9,4.5,28,0,1,0,0,2,69,169,24,3
12,7.38,31,0,3,1,0,0,70,169,25,24
14,4.62,39,1,2,1,0,2,100,170,35,0
13,5.78,33,0,2,1,0,1,90,172,30,8
12,5.82,40,0,1,1,0,1,73,171,25,3
6,3.14,29,0,0,1,1,0,75,185,22,16
9,4.5,28,0,1,0,0,2,69,169,24,3
18,3.58,38,0,0,1,0,0,89,170,31,3
12,4.7,48,0,1,0,1,5,88,163,33,8
9,3.58,30,0,0,0,0,0,56,171,19,1
14,4.7,37,0,1,0,0,1,88,172,29,4
11,7.56,36,0,2,0,1,4,65,174,21,8
13,4.7,43,0,1,1,0,0,106,167,38,2
11,5.2,36,0,4,1,0,0,65,168,23,8
18,3.58,38,0,0,1,0,0,89,170,31,8
9,4.5,28,0,1,0,0,2,69,169,24,3
18,2.36,50,0,1,1,0,0,98,178,31,4
10,2.36,37,0,0,0,0,0,83,172,28,2
14,4.7,37,0,1,0,0,1,88,172,29,3
16,4.92,41,0,0,1,0,0,67,170,23,8
14,3.1,34,0,2,1,0,0,95,196,25,8
17,3.58,40,0,2,0,1,0,63,170,22,8
18,3.58,38,0,0,1,0,0,89,170,31,3
9,4.5,28,0,1,0,0,2,69,169,24,2
12,5.82,40,0,1,1,0,1,73,171,25,2
3,7.22,28,0,1,1,0,4,80,172,27,8
13,5.78,33,0,2,1,0,1,90,172,30,8
10,2.36,37,0,0,0,0,0,83,172,28,2
10,2.36,37,0,0,0,0,0,83,172,28,1
9,3.58,30,0,0,0,0,0,56,171,19,3
9,7.76,50,0,0,0,0,0,76,178,24,8
17,3.58,40,0,2,0,1,0,63,170,22,8
9,3.58,30,0,0,0,0,0,56,171,19,2
16,4.92,41,0,0,1,0,0,67,170,23,2
14,5.58,39,0,2,1,1,0,68,168,24,2
4,6.6,28,0,0,0,0,0,84,182,25,8
10,2.36,37,0,0,0,0,0,83,172,28,2
16,4.92,41,0,0,1,0,0,67,170,23,24
11,5.2,36,0,4,1,0,0,65,168,23,16
3,7.22,28,0,1,1,0,4,80,172,27,4
13,5.78,33,0,2,1,0,1,90,172,30,104
3,7.22,28,0,1,1,0,4,80,172,27,8
17,3.58,40,0,2,0,1,0,63,170,22,2
14,4.7,37,0,1,0,0,1,88,172,29,8
10,2.36,37,0,0,0,0,0,83,172,28,2
9,7.76,50,1,0,0,0,0,76,178,24,0
18,3.58,38,0,0,1,0,0,89,170,31,3
18,3.58,38,0,0,1,0,0,89,170,31,3
14,3.1,34,0,2,1,0,0,95,196,25,120
11,5.2,36,0,4,1,0,0,65,168,23,4
9,4.5,28,0,1,0,0,2,69,169,24,3
9,4.5,28,0,1,0,0,2,69,169,24,2
10,2.36,37,0,0,0,0,0,83,172,28,2
13,6,43,0,2,1,1,1,77,175,25,64
9,4.5,28,0,1,0,0,2,69,169,24,8
13,5.78,33,0,2,1,0,1,90,172,30,8
1,4.66,31,0,1,1,0,8,68,178,21,2
4,6.6,28,0,0,0,0,0,84,182,25,24
9,3.58,30,0,0,0,0,0,56,171,19,5
9,3.58,30,0,0,0,0,0,56,171,19,1
18,3.58,38,0,0,1,0,0,89,170,31,8
14,4.7,37,0,1,0,0,1,88,172,29,8
10,2.36,37,0,0,0,0,0,83,172,28,4
12,5.82,40,0,1,1,0,1,73,171,25,4
18,3.58,38,0,0,1,0,0,89,170,31,1
18,3.58,38,0,0,1,0,0,89,170,31,1
9,4.5,28,0,1,0,0,2,69,169,24,3
7,3.68,27,0,0,0,0,0,58,167,21,2
12,5.82,40,0,1,1,0,1,73,171,25,2
9,4.5,28,0,1,0,0,2,69,169,24,3
16,4.56,58,0,2,0,0,1,65,172,22,8
10,2.36,37,0,0,0,0,0,83,172,28,2
18,3.58,38,0,0,1,0,0,89,170,31,2
18,2.36,50,1,1,1,0,0,98,178,31,0
12,7.38,31,0,3,1,0,0,70,169,25,4
9,4.5,28,0,1,0,0,2,69,169,24,8
9,3.58,30,0,0,0,0,0,56,171,19,2
11,5.2,36,0,4,1,0,0,65,168,23,8
9,3.58,30,0,0,0,0,0,56,171,19,2
12,5.82,40,0,1,1,0,1,73,171,25,1
18,3.58,38,0,0,1,0,0,89,170,31,8
9,3.58,30,0,0,0,0,0,56,171,19,2
18,3.58,38,0,0,1,0,0,89,170,31,2
18,3.58,38,0,0,1,0,0,89,170,31,3
9,4.5,28,0,1,0,0,2,69,169,24,1
12,5.82,40,0,1,1,0,1,73,171,25,8
9,4.5,28,0,1,0,0,2,69,169,24,2
4,6.6,28,0,0,0,0,0,84,182,25,8
4,6.6,28,0,0,0,0,0,84,182,25,8
13,5.78,33,0,2,1,0,1,90,172,30,24
9,4.5,28,0,1,0,0,2,69,169,24,3
16,4.92,41,0,0,1,0,0,67,170,23,2
9,4.5,28,0,1,0,0,2,69,169,24,3
12,5.82,40,0,1,1,0,1,73,171,25,5
9,4.5,28,0,1,0,0,2,69,169,24,4
14,5.58,39,0,2,1,1,0,68,168,24,8
7,3.68,27,0,0,0,0,0,58,167,21,8
18,3.58,38,0,0,1,0,0,89,170,31,3
18,2.36,50,0,1,1,0,0,98,178,31,3
18,3.58,38,0,0,1,0,0,89,170,31,2
13,5.78,33,0,2,1,0,1,90,172,30,16
11,5.2,36,0,4,1,0,0,65,168,23,16
10,2.36,37,0,0,0,0,0,83,172,28,8
3,7.22,28,0,1,1,0,4,80,172,27,8
9,3.58,30,0,0,0,0,0,56,171,19,3
16,4.92,41,0,0,1,0,0,67,170,23,1
16,4.92,41,0,0,1,0,0,67,170,23,32
13,4.7,43,1,1,1,0,0,106,167,38,0
9,4.5,28,0,1,0,0,2,69,169,24,3
18,2.36,50,0,1,1,0,0,98,178,31,3
16,4.56,58,0,2,0,0,1,65,172,22,1
11,5.2,36,0,4,1,0,0,65,168,23,4
16,4.92,41,0,0,1,0,0,67,170,23,16
18,3.58,38,0,0,1,0,0,89,170,31,2
11,5.2,36,0,4,1,0,0,65,168,23,3
10,2.36,37,0,0,0,0,0,83,172,28,2
14,3.1,34,0,2,1,0,0,95,196,25,80
12,5.82,40,0,1,1,0,1,73,171,25,5
18,2.36,50,0,1,1,0,0,98,178,31,1
29,5.78,49,0,0,0,0,2,108,172,36,2
16,4.92,41,0,0,1,0,0,67,170,23,2
18,3.58,38,0,0,1,0,0,89,170,31,2
14,4.7,37,0,1,0,0,1,88,172,29,16
16,4.92,41,0,0,1,0,0,67,170,23,24
14,3.1,34,0,2,1,0,0,95,196,25,4
9,4.5,28,0,1,0,0,2,69,169,24,5
18,3.58,38,0,0,1,0,0,89,170,31,3
13,5.78,33,0,2,1,0,1,90,172,30,8
8,4.7,32,0,0,0,0,0,75,178,25,2
14,3.1,34,0,2,1,0,0,95,196,25,8
18,3.58,38,0,0,1,0,0,89,170,31,3
11,5.2,36,0,4,1,0,0,65,168,23,2
18,2.36,50,0,1,1,0,0,98,178,31,120
10,2.36,37,0,0,0,0,0,83,172,28,3
14,4.7,37,0,1,0,0,1,88,172,29,8
12,5.82,40,0,1,1,0,1,73,171,25,2
9,4.5,28,0,1,0,0,2,69,169,24,3
15,4.5,41,0,2,1,0,2,94,182,28,8
12,7.38,31,0,3,1,0,0,70,169,25,80
